graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,backbone_restore,168,0.20545016068746824,0.008158308271934924,87.07890346881457,0.27,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,backbone_restore,156,0.11742965958303157,0.005729518574254772,56.50023629808294,0.24,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,backbone_restore,240,0.08749391364092665,0.0020460277713400094,45.619821993673995,0.65,ok
elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,backbone_restore,166,0.16898995668428982,0.010680297276566207,72.20788364132709,0.38,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,backbone_restore,544,0.13936239979769555,0.004444964106148134,63.43163107840737,1.01,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,backbone_restore,2935,0.1302228597883136,0.005742776551048912,43.45948505743471,4.46,ok
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,backbone_restore,6688,0.13221184364374758,0.004157258379144859,68.86724046675678,11.73,ok
fullerene_structures/C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,backbone_restore,84,0.08805145816531981,0.0005043374109480495,60.28764511541368,7.38,ok
football,"[""Social"", ""Sports"", ""Unweighted""]",115,613,backbone_restore,4722,0.15628223397851154,0.015201599940361809,68.29017707172456,13.68,ok
football_tsevans,"[""Social"", ""Sports"", ""Unweighted""]",115,613,backbone_restore,4722,0.15628223397851154,0.015201599940361809,68.29017707172456,13.88,ok
fullerene_structures/C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,backbone_restore,119,0.07781320154174005,0.0005553273078259587,60.395071065733966,9.63,ok
facebook_organizations/S2,"[""Online"", ""Social"", ""Unweighted""]",165,726,backbone_restore,8855,0.09946891739196137,0.0031728676778751156,51.8654021373775,20.38,ok
fullerene_structures/C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,backbone_restore,26,0.15171565616624377,0.004103000715261876,62.82426594536633,0.2,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,backbone_restore,149,0.05255760092318308,0.0013104374280507995,51.03966100373426,21.43,ok
fullerene_structures/C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,backbone_restore,126,0.07472263603244701,0.00040010438207456554,60.68673103665591,10.26,ok
kangaroo,"[""Animal"", ""Social"", ""Weighted""]",17,91,backbone_restore,465,0.18302798178247556,0.0061244861234578405,23.73240518309288,0.35,ok
karate/77,"[""Offline"", ""Social"", ""Unweighted""]",34,77,backbone_restore,67,0.1429135417607001,0.003957022916636139,38.73060240758408,0.14,ok
karate/78,"[""Offline"", ""Social"", ""Unweighted""]",34,78,backbone_restore,72,0.1451750236520591,0.0050149220500101226,38.778881459838615,0.15,ok
interactome_pdz,"[""Biological"", ""Protein interactions"", ""Unweighted""]",161,209,backbone_restore,86,0.061474488598116515,0.002436331138741568,53.620344249288955,1.62,ok
lesmis,"[""Fictional"", ""Social"", ""Weighted""]",77,254,backbone_restore,702,0.09184175051035791,0.0034737864163529703,45.948544556234694,1.11,ok
game_thrones,"[""Fictional"", ""Social"", ""Weighted""]",107,352,backbone_restore,1892,0.08122682330658032,0.002851384455428918,49.17510582937804,2.71,ok
malaria_genes/HVR_3,"[""Biological"", ""Genetic"", ""Metadata"", ""Multilayer"", ""Projection"", ""Unweighted""]",18,55,backbone_restore,52,0.14692794723088223,0.005572112073312887,9.645065074572054,0.16,ok
macaque_neural,"[""Biological"", ""Connectome"", ""Unweighted""]",47,313,backbone_restore,2695,0.17406683194932085,0.0061313982840731935,39.59967560140304,3.17,ok
marvel_partnerships,"[""Fictional"", ""Social"", ""Unweighted""]",181,224,backbone_restore,16,0.03832277690934667,0.0021630102553587944,54.97390024138997,10.27,ok
mist/ppi_zebrafish,"[""Biological"", ""Protein interactions"", ""Unweighted""]",197,225,backbone_restore,11,0.08497393084275844,0.005714703880800046,41.8602396676729,7.7,ok
montreal,"[""Affiliation"", ""Social"", ""Unweighted""]",29,75,backbone_restore,171,0.18445483405756538,0.0047318003973925585,45.87536196477916,0.23,ok
new_guinea_tribes,"[""Offline"", ""Signed"", ""Social""]",16,58,backbone_restore,80,0.284932062982091,0.017277231866437127,43.87672259964103,0.18,ok
november17,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",22,66,backbone_restore,105,0.173023208676936,0.006904195123485141,42.13201410185354,0.17,ok
fullerene_structures/C320,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",320,480,backbone_restore,157,0.0669364928429746,0.0002982575399840029,60.05264288628105,25.84,ok
plant_pol_vazquez/All sites pooled,"[""Biological"", ""Food web"", ""Multilayer"", ""Weighted""]",104,164,backbone_restore,213,0.1358875423634001,0.004195215408386062,66.28677278579111,3.01,ok
mist/genetic_mouse,"[""Biological"", ""Protein interactions"", ""Unweighted""]",214,252,backbone_restore,9,0.04812608102751056,0.0010885163234670527,53.32206475662166,11.36,ok
terrorists_911,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",62,152,backbone_restore,158,0.09380804112360497,0.002873642192591744,50.43103282356254,0.52,ok
revolution,"[""Affiliation"", ""Social"", ""Unweighted""]",141,160,backbone_restore,5,0.12389046224607751,0.007258866077117294,40.016345614202464,6.83,ok
fullerene_structures/C500,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",500,750,backbone_restore,260,0.054254151040653995,0.0002586282589039558,60.12854071740743,33.36,ok
polbooks,"[""Informational"", ""Metadata"", ""Relatedness"", ""Unweighted""]",105,441,backbone_restore,2237,0.08748881062433739,0.002841481427875415,40.54230582893454,8.14,ok
train_terrorists,"[""Offline"", ""Social"", ""Weighted""]",64,243,backbone_restore,938,0.0955578640024905,0.0037863107229252806,40.6790507686739,1.59,ok
