graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,cf_cross_sep,114,0.1853113471021131,0.025169268667081895,82.45391800299133,2.09,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,cf_cross_sep,107,0.21843194207147526,0.014164826672353225,61.92883778687676,2.03,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,cf_cross_sep,349,0.15651590742591331,0.01683019773103374,73.5174658899569,4.58,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,cf_cross_sep,195,0.07590130729527365,0.004607975073327601,49.048252455698794,5.37,ok
elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,cf_cross_sep,107,0.18514757344056335,0.024183558065486263,67.72902333090767,2.82,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,cf_cross_sep,2510,0.18336961042260222,0.010479158191587857,58.09314331321935,9.25,ok
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,cf_cross_sep,5061,0.167511786435705,0.012576168218162523,72.73376079604265,14.94,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,cf_cross_sep,81,0.032332187963667616,0.0007745804292225092,55.683720627318046,19.71,ok
fullerene_structures/C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,cf_cross_sep,75,0.07970719487101785,0.00042022861822042345,61.16573343465816,17.06,ok
football,"[""Social"", ""Sports"", ""Unweighted""]",115,613,cf_cross_sep,3326,0.14253749159528312,0.015544433152501255,70.52801167753,23.66,ok
football_tsevans,"[""Social"", ""Sports"", ""Unweighted""]",115,613,cf_cross_sep,3326,0.14253749159528312,0.015544433152501255,70.52801167753,24.3,ok
fullerene_structures/C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,cf_cross_sep,103,0.07045002752665022,0.00038446567742327737,60.99218723425463,25.94,ok
facebook_organizations/S2,"[""Online"", ""Social"", ""Unweighted""]",165,726,cf_cross_sep,7195,0.12022788471634549,0.006859806020663647,63.16787929529494,38.73,ok
fullerene_structures/C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,cf_cross_sep,22,0.1511002806228752,0.0019359960101142958,63.58659105774397,4.62,ok
fullerene_structures/C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,cf_cross_sep,109,0.06225388466522881,0.00032962317285306945,61.477697666364094,29.44,ok
kangaroo,"[""Animal"", ""Social"", ""Weighted""]",17,91,cf_cross_sep,311,0.317493329103541,0.03401263879284643,40.52501466076629,1.39,ok
interactome_pdz,"[""Biological"", ""Protein interactions"", ""Unweighted""]",161,209,cf_cross_sep,58,0.04877899335419847,0.001876732106564395,53.61248021136733,7.12,ok
karate/77,"[""Offline"", ""Social"", ""Unweighted""]",34,77,cf_cross_sep,35,0.14083580366373408,0.008857214345025951,51.95380800108743,2.28,ok
karate/78,"[""Offline"", ""Social"", ""Unweighted""]",34,78,cf_cross_sep,43,0.13984702688848358,0.010599645385616462,57.737489965802006,2.51,ok
game_thrones,"[""Fictional"", ""Social"", ""Weighted""]",107,352,cf_cross_sep,1542,0.11350907822056876,0.006738932222051388,59.6188260566211,14.16,ok
lesmis,"[""Fictional"", ""Social"", ""Weighted""]",77,254,cf_cross_sep,541,0.13318278200524666,0.007364010989248143,55.93431690064714,7.26,ok
malaria_genes/HVR_3,"[""Biological"", ""Genetic"", ""Metadata"", ""Multilayer"", ""Projection"", ""Unweighted""]",18,55,cf_cross_sep,33,0.16151046071856964,0.012114962271879325,31.568365007805482,0.68,ok
fullerene_structures/C320,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",320,480,cf_cross_sep,135,0.06073310549865247,0.0004148437514443082,61.28381096743442,40.05,ok
marvel_partnerships,"[""Fictional"", ""Social"", ""Unweighted""]",181,224,cf_cross_sep,7,0.039838977747361434,0.0011149216066910466,54.15237984375196,5.78,ok
macaque_neural,"[""Biological"", ""Connectome"", ""Unweighted""]",47,313,cf_cross_sep,2367,0.1873497926193975,0.00782808730690949,43.5646524814647,10.93,ok
montreal,"[""Affiliation"", ""Social"", ""Unweighted""]",29,75,cf_cross_sep,100,0.22374215566012343,0.012233872705301805,41.68089380879198,1.83,ok
