graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,collapse_repair,114,0.16699031600792125,0.013265543885062363,71.9834519127274,0.41,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,collapse_repair,192,0.08976010282566102,0.005049777406572543,40.96811128786562,0.72,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,collapse_repair,133,0.17859486911803252,0.011388438442743043,53.99846307329791,0.7,ok
elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,collapse_repair,165,0.15090764583455346,0.007145367904204126,64.35238629738235,0.97,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,collapse_repair,549,0.18567673207342278,0.01982786252440768,64.3312321975326,1.77,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,collapse_repair,2919,0.19028597187128463,0.015249893761487696,57.96902280827249,2.63,ok
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,collapse_repair,6381,0.1795809580097622,0.011419968412555215,68.745810923428,4.63,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,collapse_repair,94,0.037733913002332385,0.002693045848639107,50.222892998510794,4.14,ok
fullerene_structures/C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,collapse_repair,77,0.08798378762328696,0.0009923408497751422,62.148972015814856,2.29,ok
fullerene_structures/C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,collapse_repair,103,0.07133974176644908,0.00036820675179217446,61.63077909301596,3.49,ok
fullerene_structures/C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,collapse_repair,114,0.07627983098078468,0.0005084555171722694,61.020194804159765,3.67,ok
football,"[""Social"", ""Sports"", ""Unweighted""]",115,613,collapse_repair,4170,0.14790702702785935,0.017991227379442382,67.19518662533498,6.91,ok
football_tsevans,"[""Social"", ""Sports"", ""Unweighted""]",115,613,collapse_repair,4170,0.14790702702785935,0.017991227379442382,67.19518662533498,6.9,ok
