graph,algorithm,crossings,crossings_pct_vs_baseline,crossings_pct_vs_ebc,mean_edge_length,mean_edge_length_pct_vs_baseline,mean_edge_length_pct_vs_ebc,path_continuity,path_continuity_pct_vs_baseline,path_continuity_pct_vs_ebc,runtime_s
ceo_club,baseline,175,0.0,8.024691358024691,0.2232119577110691,0.0,18.24862873168688,75.77700965050549,0.0,-0.272919824259967,0.0
dolphins,baseline,256,0.0,13.777777777777779,0.0908395708454853,0.0,-12.886272626608546,41.55774714493904,0.0,-8.340565869062656,0.01
dutch_criticism,baseline,185,0.0,43.41085271317829,0.1319408918018981,0.0,35.71384264887087,50.05786588907224,0.0,1.8548221591177514,0.0
blumenau_drug,baseline,649,0.0,10.374149659863946,0.1286319124623131,0.0,24.93670157879368,61.12707162342858,0.0,-6.381992009004176,0.03
elite,baseline,171,0.0,36.8,0.1758042786911013,0.0,5.9425992331638815,62.53978330067844,0.0,1.4707426094827392,0.0
cs_department,baseline,3015,0.0,0.0,0.1719006815636588,0.0,7.480045883425729,47.26920107849351,0.0,1.9768923081342453,0.01
fullerene_structures/C180,baseline,84,0.0,2.4390243902439024,0.0894796540077653,0.0,-0.7741263851020848,60.81682725872553,0.0,0.5878901279833691,1.61
adjnoun,baseline,6775,0.0,9.098228663446054,0.1475010671462261,0.0,63.27773467199975,65.02951975061117,0.0,-0.3929014546457831,1.36
fullerene_structures/C240,baseline,110,0.0,0.0,0.0779035618335118,0.0,0.1876409303975332,60.77243427147354,0.0,0.2636731355118917,2.15
fullerene_structures/C260,baseline,129,0.0,3.2,0.0732720279815793,0.0,-1.3802129357288588,60.68684927411345,0.0,-0.14470972031332532,0.78
celegans_interactomes/BPmaps,baseline,161,0.0,78.88888888888889,0.0467156800530381,0.0,13.826331709530987,50.65815614629656,0.0,-2.3539024792080103,3.49
facebook_organizations/S2,baseline,8926,0.0,5.40859707132735,0.098006309226747,0.0,8.839598620312604,49.55281414540494,0.0,-3.367639739651437,1.42
fullerene_structures/C60,baseline,24,0.0,9.090909090909092,0.1548526560695453,0.0,4.083530648531114,63.32141581435406,0.0,-0.28352351763062866,0.01
fullerene_structures/C320,baseline,162,0.0,5.882352941176471,0.0666258283592774,0.0,3.7511570954081934,60.61837909112075,0.0,2.123209282802531,2.83
game_thrones,baseline,2230,0.0,23.136388735505246,0.094377432389133,0.0,1.98737405616371,46.04187386133013,0.0,-2.6187070949946327,0.65
kangaroo,baseline,466,0.0,10.688836104513063,0.2345148652787436,0.0,58.782141101845404,21.555912089704513,0.0,-18.381491399903137,0.0
karate/77,baseline,67,0.0,28.846153846153847,0.1516238477921194,0.0,23.398368372950475,38.87822287174013,0.0,3.524494547012018,0.0
karate/78,baseline,68,0.0,19.29824561403509,0.1609020710899312,0.0,26.459842631463594,38.34657021342826,0.0,2.2812285054415034,0.0
football_tsevans,baseline,5540,0.0,21.172353455818023,0.1834004716357806,0.0,17.902756575505048,64.45010084951825,0.0,-3.79765502815287,0.17
football,baseline,5540,0.0,21.172353455818023,0.1834004716357806,0.0,17.902756575505048,64.45010084951825,0.0,-3.79765502815287,0.72
interactome_pdz,baseline,88,0.0,15.789473684210526,0.0679103391904147,0.0,13.339907779179779,47.339173120655786,0.0,-8.60190576735808,1.84
malaria_genes/HVR_3,baseline,62,0.0,24.0,0.1562116270338724,0.0,7.6789911526576455,23.86472806047396,0.0,28.581752464563444,0.0
lesmis,baseline,742,0.0,8.321167883211679,0.1058500262239873,0.0,30.315970430184603,45.210558573292765,0.0,-2.31911503419418,0.01
macaque_neural,baseline,2654,0.0,1.8809980806142035,0.197902229255268,0.0,10.598520889986391,37.30963040954724,0.0,-4.413695091312798,0.0
mist/ppi_zebrafish,baseline,11,0.0,120.0,0.0887813646011713,0.0,10.049952605166425,36.31019807929184,0.0,0.007036694296520755,2.54
montreal,baseline,170,0.0,23.18840579710145,0.1776915056621034,0.0,55.5236107619645,45.13564085100848,0.0,-0.5852194820990424,0.0
new_guinea_tribes,baseline,113,0.0,34.523809523809526,0.293338693442017,0.0,12.147712964022858,26.3830159890439,0.0,-33.00137290433072,0.0
november17,baseline,97,0.0,7.777777777777778,0.2087772813813793,0.0,28.941194822652854,34.723122170919524,0.0,21.407123416757884,0.0
marvel_partnerships,baseline,21,0.0,133.33333333333334,0.0373535581164345,0.0,20.169496910550365,47.09416603404312,0.0,-7.1308318299926885,1.26
mist/genetic_mouse,baseline,14,0.0,40.0,0.0429986946962192,0.0,8.442461266312243,49.81425036561637,0.0,-4.4977691311087575,0.3
plant_pol_vazquez/All sites pooled,baseline,245,0.0,30.319148936170212,0.1697158067421825,0.0,33.633676229490966,55.69491194194753,0.0,-3.689425529691439,0.89
revolution,baseline,5,0.0,0.0,0.1547983657647632,0.0,22.439776864485815,35.356078713729794,0.0,-4.239102407677776,1.6
terrorists_911,baseline,162,0.0,5.194805194805195,0.1069830149772882,0.0,13.773112990572422,44.30218520253845,0.0,-11.31937957309185,0.01
train_terrorists,baseline,1108,0.0,23.11111111111111,0.1049211220674967,0.0,14.112428933654353,37.48170772329094,0.0,-7.321019730480933,0.01
polbooks,baseline,2420,0.0,5.815478793178837,0.0960711436465251,0.0,12.76150673044357,37.8977009146517,0.0,-5.687470716915852,0.17
london_transport,baseline,64,0.0,100.0,0.028282091617488,0.0,-2.8514649497483715,41.10175857927723,0.0,-3.4368619288885913,4.41
fullerene_structures/C500,baseline,236,0.0,-2.880658436213992,0.0520947848764066,0.0,-2.911651188821878,60.47544140912842,0.0,0.34710641247247487,1.32
