algorithm,mean_crossings,mean_mean_edge_length,mean_path_continuity,mean_runtime_s,crossings_pct_vs_baseline,mean_edge_length_pct_vs_baseline,path_continuity_pct_vs_baseline,crossings_pct_vs_ebc,mean_edge_length_pct_vs_ebc,path_continuity_pct_vs_ebc,wins_vs_ebc,ties_vs_ebc,losses_vs_ebc,n_graphs
baseline,4199.12,0.1195394193413316,54.66486596641834,1.3909333333333336,0.0,0.0,0.0,31.976411122609203,20.037885331057662,-1.4661384239780901,1,6,68,75
EBC,3836.16,0.09871390002246962,55.60999738318311,26.6952,-16.68959161000473,-14.054996036243288,2.1006110051903084,0.0,0.0,0.0,0,75,0,75
crossing,3877.72,0.12326648970386828,54.684838429686955,24.768,-11.595567831803262,3.0800212491604624,0.028859135356242363,6.557243340878375,23.938373396221763,-1.4905850090699515,23,7,45,75
fiedler,3758.96,0.10627508427614257,55.19655943438517,40.407733333333326,-15.43045195810491,-10.361321534704842,1.5460616648575103,2.8933279636043423,7.203764920328701,-0.40547360684701433,35,10,30,75
community,3800.4266666666667,0.11377289926783746,56.14469227070026,37.327733333333335,-16.642437979865143,-4.71566189842093,3.0107731956543007,-0.44279041884171483,14.343723894707601,1.2517066521388096,31,12,32,75
embeddedness,3842.8533333333335,0.10904265375724059,55.62189456592674,35.550533333333334,-13.857646777936528,-6.869005958448081,2.80437023374122,4.4784488541980565,11.107947625289327,0.453535125459543,25,12,38,75
stress,3839.8533333333335,0.10342626004134203,55.04540942228973,39.72186666666666,-15.589982183041668,-11.618424624038783,0.8014288757372852,1.1678957090223836,4.4847356298723735,-1.1638888083463745,33,10,32,75
angular,3897.2,0.11950107695157351,54.702674468503886,16.105733333333333,-12.032655550632576,-0.3637696812649207,0.7211104473370039,6.401741561766824,19.617633706729368,-1.0360420981231337,18,11,46,75
adaptive,3830.0,0.12285566912904172,54.760458385460396,55.96920000000001,-11.816260503729852,2.8189345088247597,0.1787753283106903,6.412882454036017,23.48618883541299,-1.2959019437791628,21,7,47,75
currentflow,3720.1466666666665,0.09476733941330621,54.380639585282694,33.89746666666666,-18.05446153179879,-17.513850262237238,-0.35980403332261013,-2.4738207925739673,-3.000473312743406,-2.359021048301784,45,9,21,75
collapse,4269.626666666667,0.13025820644483943,58.64170925074041,1.0980000000000003,97.83348427542965,7.076252587854675,9.219931508395753,139.24812925062588,30.049143131416912,6.921391811164443,3,1,71,75
backbone,4034.3333333333335,0.10918470436750943,57.697385140658575,10.554133333333334,15.19364016911058,-5.905582466165809,6.251430238718652,37.44906667551316,12.008566997849282,3.9578121183978383,7,2,66,75
repair,3432.72,0.11074211688565799,54.0885167460989,7.698933333333333,-27.104218441630213,-8.476909633433777,-1.599917876071751,-10.401683297884375,11.145120243909352,-3.2387691824780993,59,3,13,75
collapse+rep,3601.5866666666666,0.12194679100171871,56.31703367821503,4.590266666666667,5.76274151449916,-0.41605416885594926,3.205999283293649,28.07334342627174,21.83975761191616,1.020406553165694,52,2,21,75
cflow+rep,3177.266666666667,0.09627181329506826,53.1383153604112,31.571733333333334,-34.52018130826418,-18.812750078474725,-4.022509401342005,-23.31423746812928,-2.512803440721207,-5.499445177655819,69,1,5,75
cf+rep+exp,3080.733333333333,0.10535716327253726,57.863463422523864,36.733999999999995,-35.87970449632628,-8.370766656443458,6.160141265306898,-24.692674820429044,9.371207717092556,4.121979306621791,69,1,5,75
cf+aesthetic,2998.56,0.11616738113530732,58.270918572978005,38.06946666666667,-36.92721313996234,-0.9709869795645943,6.5398540568556225,-25.90316664991884,19.20783109584212,4.479268158220383,69,2,4,75
cf+cross+sep,3100.84,0.12427818458150665,61.434143541567465,28.97853333333333,-36.71070603010003,1.180360437405387,14.435619795955079,-25.63711178548796,23.20496422911185,12.171659804794222,68,4,3,75
cf+sep+prism,3863.0533333333333,0.10771144937160185,57.77240161638332,3.8168000000000006,-13.960513035396689,-8.751320263836407,5.826080584611882,6.008159579456134,10.102354957050872,4.068139275360687,44,2,29,75
cf+sep+vpsc,4257.8533333333335,0.11943482726212705,64.36578927348519,4.0364,456.3160275328556,3.155316197113435,20.17285241914229,1005.3896505676314,24.10383723954251,18.14814530190337,19,3,53,75
