graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,currentflow_aesthetic,113,0.18387910828845974,0.01656988785342317,81.13092428352672,3.87,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,currentflow_aesthetic,111,0.21014865884638073,0.008981174764928098,60.897914293426886,1.4,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,currentflow_aesthetic,175,0.07688896608103805,0.003469420587568284,43.57421392721053,6.12,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,currentflow_aesthetic,314,0.14191219424182105,0.010971004495977732,69.45035106057661,7.92,ok
elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,currentflow_aesthetic,109,0.18066931476981246,0.010417049507641754,64.77231866903419,3.92,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,currentflow_aesthetic,2568,0.1455383318249404,0.006354203171567375,50.14971726089185,18.12,ok
fullerene_structures/C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,currentflow_aesthetic,75,0.08426354599730825,0.0003796472815091756,61.367114672393726,10.89,ok
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,currentflow_aesthetic,4952,0.12941574036299458,0.009086600470627192,61.66862141088449,40.26,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,currentflow_aesthetic,70,0.0411951436305855,0.0006616432702883667,62.48037173861613,42.78,ok
fullerene_structures/C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,currentflow_aesthetic,103,0.07110233058306308,0.00029809673624130883,60.9380767874813,19.64,ok
fullerene_structures/C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,currentflow_aesthetic,109,0.07312191109654516,0.00036957655662942434,61.49243438793342,22.0,ok
football,"[""Social"", ""Sports"", ""Unweighted""]",115,613,currentflow_aesthetic,3177,0.14379557036396426,0.016239104066192014,68.91323765482163,61.78,ok
football_tsevans,"[""Social"", ""Sports"", ""Unweighted""]",115,613,currentflow_aesthetic,3177,0.14379557036396426,0.016239104066192014,68.91323765482163,61.58,ok
fullerene_structures/C320,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",320,480,currentflow_aesthetic,140,0.06463317868983177,0.00027762137876304884,61.24394080459534,26.99,ok
fullerene_structures/C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,currentflow_aesthetic,22,0.14889530043369079,0.0021965176066746964,64.20766182964897,3.63,ok
