graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,currentflow_repair,116,0.1713381906167326,0.02371403857011516,78.81946552901698,3.01,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,currentflow_repair,120,0.12151959794062388,0.00993304257226132,48.55023645762357,1.83,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,currentflow_repair,176,0.06662872894968429,0.0052917036212268165,40.444713110796826,5.55,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,currentflow_repair,320,0.15583031623256532,0.019137917676431443,64.01938100879278,7.52,ok
elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,currentflow_repair,114,0.1481072563164598,0.010213509194810023,60.84551037260756,3.57,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,currentflow_repair,2645,0.10731591658824877,0.004885999589373181,46.25337106750007,16.85,ok
fullerene_structures/C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,currentflow_repair,75,0.08494988591315773,0.0003795765695211132,60.962244144852946,6.78,ok
fullerene_structures/C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,currentflow_repair,103,0.07127227505486657,0.0002943467227622002,60.92027124896865,10.3,ok
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,currentflow_repair,5087,0.12582198297066405,0.009379427365240754,59.37118081964504,37.74,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,currentflow_repair,70,0.02500632291992177,0.0011111103861819417,48.51493942801593,42.21,ok
fullerene_structures/C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,currentflow_repair,111,0.07259969080601206,0.000380316800930941,60.98748258780916,15.26,ok
fullerene_structures/C320,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",320,480,currentflow_repair,140,0.06432211046487028,0.00032604176187949206,60.72122754444003,19.59,ok
fullerene_structures/C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,currentflow_repair,23,0.13265181626993053,0.0012823792483887086,63.779978534206066,1.01,ok
football,"[""Social"", ""Sports"", ""Unweighted""]",115,613,currentflow_repair,3211,0.13998931267413187,0.017060696412926013,68.0670092997236,58.28,ok
football_tsevans,"[""Social"", ""Sports"", ""Unweighted""]",115,613,currentflow_repair,3211,0.13998931267413187,0.017060696412926013,68.0670092997236,57.99,ok
kangaroo,"[""Animal"", ""Social"", ""Weighted""]",17,91,currentflow_repair,279,0.288392097931056,0.03643340807836108,11.765451008680422,1.9,ok
karate/77,"[""Offline"", ""Social"", ""Unweighted""]",34,77,currentflow_repair,49,0.12192478433312742,0.008229776880267712,33.96600268873735,0.8,ok
karate/78,"[""Offline"", ""Social"", ""Unweighted""]",34,78,currentflow_repair,53,0.13056266852012938,0.005061140235088732,35.33965818374563,0.93,ok
game_thrones,"[""Fictional"", ""Social"", ""Weighted""]",107,352,currentflow_repair,1625,0.092212540748509,0.006207844242675522,49.79686372786479,13.12,ok
