graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",6164,0.1428868020173971,0.0040075148102414315,64.50048823771807,46.42,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",613,0.13350623536753697,0.003205039358372196,60.66250499823573,6.79,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",123,0.051305651341230905,0.0009194397190012058,50.45113395741687,47.03,ok
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",163,0.24022362826333385,0.008864427447211368,76.99392809256237,1.54,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",2994,0.18448042806011783,0.00964660899717745,50.87045344501494,36.21,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",229,0.09421863378372124,0.0016625784361324347,41.41033525526386,3.59,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",154,0.15436435792829434,0.0038893799633687503,51.04416856683276,1.59,ok
elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",145,0.17680923773116197,0.004050938439753817,62.16653326688707,1.4,ok
facebook_organizations/S2,"[""Online"", ""Social"", ""Unweighted""]",165,726,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",8329,0.10284508707293133,0.0032928820632949192,50.598627341295696,99.63,ok
football,"[""Social"", ""Sports"", ""Unweighted""]",115,613,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",4875,0.17075027582616037,0.016352334330908443,66.50714870192311,131.4,ok
football_tsevans,"[""Social"", ""Sports"", ""Unweighted""]",115,613,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",4875,0.17075027582616037,0.016352334330908443,66.50714870192311,162.29,ok
fullerene_structures/C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",76,0.09191022199059462,0.0009819192302467725,61.15912189002946,21.71,ok
fullerene_structures/C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",114,0.07795511499410929,0.0001756311253959721,60.8472319814768,28.11,ok
fullerene_structures/C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",122,0.07474167866481397,0.0004111638780730013,60.90176645301564,44.5,ok
fullerene_structures/C320,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",320,480,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",153,0.06624428442843762,0.0002190898676649808,60.554932080490644,62.57,ok
fullerene_structures/C500,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",500,750,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",246,0.053249092341386015,6.02349241196951e-05,60.362541977578395,157.16,ok
fullerene_structures/C540,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",540,810,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",251,0.050622837383011564,7.888652049200803e-05,60.24020097697682,222.35,ok
fullerene_structures/C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",19,0.16288062078797128,0.006469118022392169,64.76242454207757,2.78,ok
game_thrones,"[""Fictional"", ""Social"", ""Weighted""]",107,352,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",2051,0.10893540948609899,0.0031195396610614536,48.536367143054335,38.48,ok
interactome_pdz,"[""Biological"", ""Protein interactions"", ""Unweighted""]",161,209,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",80,0.06475327991098977,0.0010084808596445723,47.49606480913569,15.31,ok
kangaroo,"[""Animal"", ""Social"", ""Weighted""]",17,91,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",449,0.2310886438766214,0.007818739303116771,38.21959980737417,1.73,ok
karate/77,"[""Offline"", ""Social"", ""Unweighted""]",34,77,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",54,0.16145929658610153,0.0066164551611166515,44.521707791317894,2.18,ok
karate/78,"[""Offline"", ""Social"", ""Unweighted""]",34,78,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",61,0.16968051146089969,0.005667135964997137,42.9596960825971,2.76,ok
lesmis,"[""Fictional"", ""Social"", ""Weighted""]",77,254,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",699,0.10797139292702737,0.0036931819714221734,45.09539809949982,27.76,ok
london_transport,"[""Multilayer"", ""Public Transport"", ""Transportation"", ""Weighted""]",369,430,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",43,0.030111931590180607,0.00015774452779427156,38.96502746834446,79.21,ok
macaque_neural,"[""Biological"", ""Connectome"", ""Unweighted""]",47,313,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",2679,0.20264424809815487,0.006473345961755906,36.90810371050028,27.41,ok
malaria_genes/HVR_3,"[""Biological"", ""Genetic"", ""Metadata"", ""Multilayer"", ""Projection"", ""Unweighted""]",18,55,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",54,0.16671463314564627,0.005291698189820293,14.2987160362677,1.31,ok
marvel_partnerships,"[""Fictional"", ""Social"", ""Unweighted""]",181,224,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",14,0.037717303479137744,0.0005257437845942851,46.39604790952558,22.91,ok
mist/ppi_zebrafish,"[""Biological"", ""Protein interactions"", ""Unweighted""]",197,225,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",4,0.09035245460024656,0.0017728050772509037,36.99699684174109,25.88,ok
mist/genetic_mouse,"[""Biological"", ""Protein interactions"", ""Unweighted""]",214,252,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",12,0.03817657867244733,0.0007645078063978416,50.498114079817434,42.09,ok
montreal,"[""Affiliation"", ""Social"", ""Unweighted""]",29,75,"edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)",156,0.20638154991364052,0.008494938069174719,46.38096434001833,1.55,ok
