Algorithm:  edge_relaxation_adaptive(kr=0.1,kw=0.05,k=10)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_adaptive.csv

[1/75] adjnoun (112v, 425e)
    crossings=6164  edge_len=0.1429  continuity=64.50°  (46.42s)
[2/75] blumenau_drug (75v, 181e)
    crossings=613  edge_len=0.1335  continuity=60.66°  (6.79s)
[3/75] celegans_interactomes/BPmaps (345v, 400e)
    crossings=123  edge_len=0.0513  continuity=50.45°  (47.03s)
[4/75] ceo_club (40v, 95e)
    crossings=163  edge_len=0.2402  continuity=76.99°  (1.54s)
[5/75] cs_department (61v, 353e)
    crossings=2994  edge_len=0.1845  continuity=50.87°  (36.21s)
[6/75] dolphins (62v, 159e)
    crossings=229  edge_len=0.0942  continuity=41.41°  (3.59s)
[7/75] dutch_criticism (35v, 80e)
    crossings=154  edge_len=0.1544  continuity=51.04°  (1.59s)
[8/75] elite (44v, 99e)
    crossings=145  edge_len=0.1768  continuity=62.17°  (1.4s)
[9/75] facebook_organizations/S2 (165v, 726e)
    crossings=8329  edge_len=0.1028  continuity=50.60°  (99.63s)
[10/75] football (115v, 613e)
    crossings=4875  edge_len=0.1708  continuity=66.51°  (131.4s)
[11/75] football_tsevans (115v, 613e)
    crossings=4875  edge_len=0.1708  continuity=66.51°  (162.29s)
[12/75] fullerene_structures/C180 (180v, 270e)
    crossings=76  edge_len=0.0919  continuity=61.16°  (21.71s)
[13/75] fullerene_structures/C240 (240v, 360e)
    crossings=114  edge_len=0.0780  continuity=60.85°  (28.11s)
[14/75] fullerene_structures/C260 (260v, 390e)
    crossings=122  edge_len=0.0747  continuity=60.90°  (44.5s)
[15/75] fullerene_structures/C320 (320v, 480e)
    crossings=153  edge_len=0.0662  continuity=60.55°  (62.57s)
[16/75] fullerene_structures/C500 (500v, 750e)
    crossings=246  edge_len=0.0532  continuity=60.36°  (157.16s)
[17/75] fullerene_structures/C540 (540v, 810e)
    crossings=251  edge_len=0.0506  continuity=60.24°  (222.35s)
[18/75] fullerene_structures/C60 (60v, 90e)
    crossings=19  edge_len=0.1629  continuity=64.76°  (2.78s)
[19/75] game_thrones (107v, 352e)
    crossings=2051  edge_len=0.1089  continuity=48.54°  (38.48s)
[20/75] interactome_pdz (161v, 209e)
    crossings=80  edge_len=0.0648  continuity=47.50°  (15.31s)
[21/75] kangaroo (17v, 91e)
    crossings=449  edge_len=0.2311  continuity=38.22°  (1.73s)
[22/75] karate/77 (34v, 77e)
    crossings=54  edge_len=0.1615  continuity=44.52°  (2.18s)
[23/75] karate/78 (34v, 78e)
    crossings=61  edge_len=0.1697  continuity=42.96°  (2.76s)
[24/75] lesmis (77v, 254e)
    crossings=699  edge_len=0.1080  continuity=45.10°  (27.76s)
[25/75] london_transport (369v, 430e)
    crossings=43  edge_len=0.0301  continuity=38.97°  (79.21s)
[26/75] macaque_neural (47v, 313e)
    crossings=2679  edge_len=0.2026  continuity=36.91°  (27.41s)
[27/75] malaria_genes/HVR_3 (18v, 55e)
    crossings=54  edge_len=0.1667  continuity=14.30°  (1.31s)
[28/75] marvel_partnerships (181v, 224e)
    crossings=14  edge_len=0.0377  continuity=46.40°  (22.91s)
