Algorithm:  edge_relaxation_angular(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_angular.csv

[1/75] adjnoun (112v, 425e)
    crossings=6262  edge_len=0.1518  continuity=64.91°  (26.2s)
[2/75] blumenau_drug (75v, 181e)
    crossings=604  edge_len=0.1375  continuity=64.69°  (13.96s)
[3/75] celegans_interactomes/BPmaps (345v, 400e)
    crossings=149  edge_len=0.0490  continuity=51.63°  (71.22s)
[4/75] ceo_club (40v, 95e)
    crossings=168  edge_len=0.2413  continuity=74.99°  (1.88s)
[5/75] cs_department (61v, 353e)
    crossings=3006  edge_len=0.1817  continuity=48.11°  (13.23s)
[6/75] dolphins (62v, 159e)
    crossings=236  edge_len=0.0890  continuity=41.18°  (2.69s)
[7/75] dutch_criticism (35v, 80e)
    crossings=138  edge_len=0.1359  continuity=60.20°  (2.65s)
[8/75] elite (44v, 99e)
    crossings=163  edge_len=0.1809  continuity=63.05°  (1.43s)
[9/75] facebook_organizations/S2 (165v, 726e)
    crossings=8666  edge_len=0.0996  continuity=49.87°  (78.11s)
[10/75] football (115v, 613e)
    crossings=5679  edge_len=0.1874  continuity=64.27°  (34.7s)
[11/75] football_tsevans (115v, 613e)
    crossings=5679  edge_len=0.1874  continuity=64.27°  (34.55s)
[12/75] fullerene_structures/C180 (180v, 270e)
    crossings=84  edge_len=0.0899  continuity=61.19°  (12.76s)
[13/75] fullerene_structures/C240 (240v, 360e)
    crossings=114  edge_len=0.0777  continuity=60.87°  (15.38s)
[14/75] fullerene_structures/C260 (260v, 390e)
    crossings=125  edge_len=0.0737  continuity=60.74°  (20.06s)
[15/75] fullerene_structures/C320 (320v, 480e)
    crossings=149  edge_len=0.0626  continuity=60.57°  (50.2s)
[16/75] fullerene_structures/C500 (500v, 750e)
    crossings=248  edge_len=0.0535  continuity=60.39°  (105.43s)
[17/75] fullerene_structures/C540 (540v, 810e)
    crossings=248  edge_len=0.0506  continuity=60.22°  (231.78s)
[18/75] fullerene_structures/C60 (60v, 90e)
    crossings=24  edge_len=0.1605  continuity=63.43°  (2.12s)
[19/75] game_thrones (107v, 352e)
    crossings=1878  edge_len=0.0955  continuity=43.97°  (21.38s)
[20/75] interactome_pdz (161v, 209e)
    crossings=88  edge_len=0.0599  continuity=48.21°  (11.1s)
[21/75] kangaroo (17v, 91e)
    crossings=445  edge_len=0.2923  continuity=23.72°  (5.16s)
[22/75] karate/77 (34v, 77e)
    crossings=57  edge_len=0.1417  continuity=39.13°  (1.39s)
[23/75] karate/78 (34v, 78e)
    crossings=68  edge_len=0.1484  continuity=33.56°  (3.43s)
[24/75] lesmis (77v, 254e)
    crossings=726  edge_len=0.1075  continuity=44.49°  (16.7s)
[25/75] london_transport (369v, 430e)
    crossings=42  edge_len=0.0296  continuity=38.65°  (79.44s)
[26/75] macaque_neural (47v, 313e)
    crossings=2572  edge_len=0.1950  continuity=38.61°  (23.56s)
[27/75] malaria_genes/HVR_3 (18v, 55e)
    crossings=52  edge_len=0.1599  continuity=20.79°  (0.68s)
[28/75] marvel_partnerships (181v, 224e)
    crossings=15  edge_len=0.0352  continuity=46.36°  (21.71s)
[29/75] mist/ppi_zebrafish (197v, 225e)
    crossings=4  edge_len=0.1061  continuity=41.80°  (34.88s)
[30/75] mist/genetic_mouse (214v, 252e)
    crossings=13  edge_len=0.0389  continuity=50.14°  (22.54s)
[31/75] montreal (29v, 75e)
    crossings=149  edge_len=0.1856  continuity=46.03°  (2.99s)
[32/75] new_guinea_tribes (16v, 58e)
    crossings=86  edge_len=0.3270  continuity=33.91°  (1.41s)
[33/75] november17 (22v, 66e)
    crossings=93  edge_len=0.2096  continuity=35.70°  (1.53s)
[34/75] plant_pol_vazquez/All sites pooled (104v, 164e)
    crossings=216  edge_len=0.0651  continuity=53.70°  (10.41s)
[35/75] polbooks (105v, 441e)
    crossings=2376  edge_len=0.0899  continuity=36.87°  (61.51s)
[36/75] revolution (141v, 160e)
    crossings=5  edge_len=0.1200  continuity=35.93°  (8.1s)
[37/75] terrorists_911 (62v, 152e)
    crossings=158  edge_len=0.1042  continuity=44.17°  (5.36s)
[38/75] train_terrorists (64v, 243e)
    crossings=943  edge_len=0.1002  continuity=39.83°  (41.82s)
[39/75] ugandan_village/friendship-1 (202v, 547e)
    crossings=7283  edge_len=0.1349  continuity=74.06°  (98.41s)
[40/75] ugandan_village/friendship-2 (181v, 688e)
    crossings=16491  edge_len=0.1593  continuity=76.25°  (276.41s)
[41/75] ugandan_village/friendship-5 (184v, 720e)
    crossings=16077  edge_len=0.1244  continuity=74.65°  (85.51s)
[42/75] ugandan_village/friendship-6 (139v, 632e)
    crossings=15633  edge_len=0.1577  continuity=71.53°  (88.23s)
[43/75] ugandan_village/friendship-7 (121v, 770e)
    crossings=27406  edge_len=0.2088  continuity=76.81°  (66.69s)
[44/75] ugandan_village/friendship-12 (229v, 872e)
    crossings=26310  edge_len=0.1311  continuity=72.67°  (75.69s)
[45/75] ugandan_village/friendship-13 (183v, 809e)
    crossings=25131  edge_len=0.1602  continuity=78.86°  (108.37s)
[46/75] ugandan_village/friendship-14 (124v, 525e)
    crossings=9045  edge_len=0.1743  continuity=72.17°  (32.12s)
[47/75] ugandan_village/friendship-15 (120v, 274e)
    crossings=1430  edge_len=0.1185  continuity=66.69°  (10.14s)
[48/75] ugandan_village/friendship-17 (65v, 257e)
    crossings=2171  edge_len=0.1525  continuity=62.34°  (11.21s)
[49/75] ugandan_village/health-advice_1 (187v, 431e)
    crossings=3977  edge_len=0.1151  continuity=65.20°  (49.49s)
[50/75] ugandan_village/health-advice_2 (170v, 394e)
    crossings=3345  edge_len=0.1203  continuity=61.99°  (23.22s)
[51/75] ugandan_village/health-advice_3 (185v, 638e)
    crossings=14542  edge_len=0.1224  continuity=67.29°  (77.48s)
[52/75] ugandan_village/health-advice_5 (166v, 386e)
    crossings=2844  edge_len=0.1313  continuity=61.47°  (20.71s)
[53/75] ugandan_village/health-advice_6 (131v, 284e)
    crossings=1572  edge_len=0.1431  continuity=63.00°  (12.37s)
[54/75] ugandan_village/health-advice_7 (121v, 473e)
    crossings=8509  edge_len=0.1570  continuity=73.31°  (21.78s)
[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=11686  edge_len=0.1504  continuity=65.21°  (46.0s)
[56/75] ugandan_village/health-advice_10 (204v, 820e)
    crossings=20600  edge_len=0.1179  continuity=69.32°  (92.88s)
[57/75] ugandan_village/health-advice_11 (234v, 527e)
    crossings=4836  edge_len=0.1099  continuity=63.11°  (38.24s)
