Algorithm:  edge_relaxation_community(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_community.csv

[1/75] adjnoun (112v, 425e)
    crossings=5863  edge_len=0.1248  continuity=65.04°  (57.59s)
[2/75] blumenau_drug (75v, 181e)
    crossings=555  edge_len=0.1264  continuity=64.61°  (9.43s)
[3/75] celegans_interactomes/BPmaps (345v, 400e)
    crossings=104  edge_len=0.0435  continuity=51.68°  (84.98s)
[4/75] ceo_club (40v, 95e)
    crossings=166  edge_len=0.2355  continuity=78.54°  (3.49s)
[5/75] cs_department (61v, 353e)
    crossings=2940  edge_len=0.1607  continuity=48.81°  (24.88s)
[6/75] dolphins (62v, 159e)
    crossings=224  edge_len=0.0880  continuity=42.82°  (2.58s)
[7/75] dutch_criticism (35v, 80e)
    crossings=143  edge_len=0.1071  continuity=55.24°  (2.04s)
[8/75] elite (44v, 99e)
    crossings=141  edge_len=0.1576  continuity=65.83°  (1.79s)
[9/75] facebook_organizations/S2 (165v, 726e)
    crossings=8251  edge_len=0.0956  continuity=49.84°  (119.06s)
[10/75] football (115v, 613e)
    crossings=4592  edge_len=0.1551  continuity=65.78°  (167.83s)
[11/75] football_tsevans (115v, 613e)
    crossings=4592  edge_len=0.1551  continuity=65.78°  (229.27s)
[12/75] fullerene_structures/C180 (180v, 270e)
    crossings=82  edge_len=0.0907  continuity=60.43°  (19.05s)
[13/75] fullerene_structures/C240 (240v, 360e)
    crossings=111  edge_len=0.0778  continuity=60.91°  (28.23s)
[14/75] fullerene_structures/C260 (260v, 390e)
    crossings=123  edge_len=0.0744  continuity=60.28°  (70.07s)
[15/75] fullerene_structures/C320 (320v, 480e)
    crossings=154  edge_len=0.0674  continuity=60.07°  (75.2s)
[16/75] fullerene_structures/C500 (500v, 750e)
    crossings=245  edge_len=0.0536  continuity=60.21°  (214.12s)
[17/75] fullerene_structures/C540 (540v, 810e)
    crossings=253  edge_len=0.0505  continuity=60.23°  (247.33s)
[18/75] fullerene_structures/C60 (60v, 90e)
    crossings=24  edge_len=0.1579  continuity=63.51°  (2.05s)
[19/75] game_thrones (107v, 352e)
    crossings=1803  edge_len=0.0944  continuity=48.79°  (36.03s)
[20/75] interactome_pdz (161v, 209e)
    crossings=64  edge_len=0.0455  continuity=54.96°  (28.26s)
[21/75] kangaroo (17v, 91e)
    crossings=443  edge_len=0.2444  continuity=21.41°  (2.63s)
[22/75] karate/77 (34v, 77e)
    crossings=55  edge_len=0.1451  continuity=36.99°  (2.6s)
[23/75] karate/78 (34v, 78e)
