Algorithm:  edge_relaxation_crossing(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_crossing.csv

[1/75] adjnoun (112v, 425e)
    crossings=6229  edge_len=0.1412  continuity=63.85°  (39.72s)
[2/75] blumenau_drug (75v, 181e)
    crossings=569  edge_len=0.1413  continuity=62.21°  (20.83s)
[3/75] celegans_interactomes/BPmaps (345v, 400e)
    crossings=119  edge_len=0.0518  continuity=51.15°  (66.25s)
[4/75] ceo_club (40v, 95e)
    crossings=158  edge_len=0.2254  continuity=78.88°  (1.74s)
[5/75] cs_department (61v, 353e)
    crossings=2951  edge_len=0.1775  continuity=49.48°  (22.59s)
[6/75] dolphins (62v, 159e)
    crossings=229  edge_len=0.0942  continuity=41.41°  (3.46s)
[7/75] dutch_criticism (35v, 80e)
    crossings=164  edge_len=0.1477  continuity=50.10°  (1.29s)
[8/75] elite (44v, 99e)
    crossings=145  edge_len=0.1768  continuity=62.17°  (1.53s)
[9/75] facebook_organizations/S2 (165v, 726e)
    crossings=8410  edge_len=0.1088  continuity=51.22°  (96.13s)
[10/75] football (115v, 613e)
    crossings=5012  edge_len=0.1766  continuity=65.63°  (64.01s)
[11/75] football_tsevans (115v, 613e)
    crossings=5012  edge_len=0.1766  continuity=65.63°  (75.52s)
[12/75] fullerene_structures/C180 (180v, 270e)
    crossings=80  edge_len=0.0924  continuity=61.35°  (18.36s)
[13/75] fullerene_structures/C240 (240v, 360e)
    crossings=114  edge_len=0.0780  continuity=60.85°  (19.71s)
[14/75] fullerene_structures/C260 (260v, 390e)
    crossings=124  edge_len=0.0741  continuity=60.79°  (26.2s)
[15/75] fullerene_structures/C320 (320v, 480e)
    crossings=153  edge_len=0.0662  continuity=60.55°  (41.4s)
[16/75] fullerene_structures/C500 (500v, 750e)
    crossings=246  edge_len=0.0532  continuity=60.36°  (176.98s)
[17/75] fullerene_structures/C540 (540v, 810e)
    crossings=251  edge_len=0.0506  continuity=60.24°  (205.84s)
[18/75] fullerene_structures/C60 (60v, 90e)
    crossings=21  edge_len=0.1580  continuity=64.53°  (3.68s)
[19/75] game_thrones (107v, 352e)
    crossings=2051  edge_len=0.1089  continuity=48.54°  (38.4s)
[20/75] interactome_pdz (161v, 209e)
    crossings=80  edge_len=0.0648  continuity=47.50°  (14.57s)
[21/75] kangaroo (17v, 91e)
    crossings=449  edge_len=0.2311  continuity=38.22°  (2.27s)
[22/75] karate/77 (34v, 77e)
    crossings=60  edge_len=0.1630  continuity=43.07°  (2.51s)
[23/75] karate/78 (34v, 78e)
    crossings=60  edge_len=0.1605  continuity=44.74°  (2.54s)
[24/75] lesmis (77v, 254e)
    crossings=684  edge_len=0.1101  continuity=45.52°  (19.67s)
[25/75] london_transport (369v, 430e)
    crossings=43  edge_len=0.0301  continuity=38.97°  (80.62s)
[26/75] macaque_neural (47v, 313e)
    crossings=2679  edge_len=0.2026  continuity=36.91°  (18.77s)
[27/75] malaria_genes/HVR_3 (18v, 55e)
    crossings=52  edge_len=0.1689  continuity=21.41°  (1.01s)
[28/75] marvel_partnerships (181v, 224e)
    crossings=14  edge_len=0.0377  continuity=46.40°  (17.2s)
[29/75] mist/ppi_zebrafish (197v, 225e)
    crossings=10  edge_len=0.0868  continuity=37.13°  (18.74s)
[30/75] mist/genetic_mouse (214v, 252e)
    crossings=12  edge_len=0.0427  continuity=49.96°  (30.82s)
[31/75] montreal (29v, 75e)
    crossings=156  edge_len=0.2107  continuity=47.57°  (3.12s)
[32/75] new_guinea_tribes (16v, 58e)
    crossings=103  edge_len=0.3062  continuity=18.40°  (0.83s)
[33/75] november17 (22v, 66e)
    crossings=91  edge_len=0.2219  continuity=36.74°  (0.99s)
[34/75] plant_pol_vazquez/All sites pooled (104v, 164e)
    crossings=217  edge_len=0.1539  continuity=52.31°  (18.12s)
[35/75] polbooks (105v, 441e)
    crossings=2400  edge_len=0.0954  continuity=40.33°  (64.78s)
[36/75] revolution (141v, 160e)
    crossings=5  edge_len=0.1447  continuity=35.87°  (8.35s)
[37/75] terrorists_911 (62v, 152e)
    crossings=152  edge_len=0.1214  continuity=44.92°  (8.99s)
[38/75] train_terrorists (64v, 243e)
    crossings=950  edge_len=0.1038  continuity=38.40°  (15.25s)
[39/75] ugandan_village/friendship-1 (202v, 547e)
    crossings=7226  edge_len=0.1345  continuity=73.91°  (124.65s)
[40/75] ugandan_village/friendship-2 (181v, 688e)
    crossings=16507  edge_len=0.1530  continuity=76.43°  (171.94s)
[41/75] ugandan_village/friendship-5 (184v, 720e)
    crossings=16126  edge_len=0.1204  continuity=74.34°  (111.06s)
[42/75] ugandan_village/friendship-6 (139v, 632e)
    crossings=15380  edge_len=0.1569  continuity=71.55°  (47.52s)
[43/75] ugandan_village/friendship-7 (121v, 770e)
    crossings=27851  edge_len=0.1986  continuity=75.62°  (87.41s)
[44/75] ugandan_village/friendship-12 (229v, 872e)
    crossings=25613  edge_len=0.1309  continuity=73.19°  (203.71s)
[45/75] ugandan_village/friendship-13 (183v, 809e)
    crossings=25576  edge_len=0.1640  continuity=78.50°  (178.38s)
[46/75] ugandan_village/friendship-14 (124v, 525e)
    crossings=9058  edge_len=0.1567  continuity=73.35°  (28.54s)
[47/75] ugandan_village/friendship-15 (120v, 274e)
    crossings=1412  edge_len=0.1372  continuity=67.75°  (17.03s)
[48/75] ugandan_village/friendship-17 (65v, 257e)
    crossings=2172  edge_len=0.1516  continuity=61.88°  (9.72s)
[49/75] ugandan_village/health-advice_1 (187v, 431e)
    crossings=4083  edge_len=0.1363  continuity=67.80°  (38.47s)
[50/75] ugandan_village/health-advice_2 (170v, 394e)
    crossings=3189  edge_len=0.1231  continuity=62.06°  (20.71s)
[51/75] ugandan_village/health-advice_3 (185v, 638e)
    crossings=14760  edge_len=0.1248  continuity=67.80°  (75.58s)
[52/75] ugandan_village/health-advice_5 (166v, 386e)
    crossings=2954  edge_len=0.1153  continuity=60.82°  (16.98s)
[53/75] ugandan_village/health-advice_6 (131v, 284e)
    crossings=1509  edge_len=0.1386  continuity=58.73°  (11.03s)
[54/75] ugandan_village/health-advice_7 (121v, 473e)
    crossings=8270  edge_len=0.1473  continuity=73.82°  (29.8s)
[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=11899  edge_len=0.1617  continuity=64.16°  (74.04s)
[56/75] ugandan_village/health-advice_10 (204v, 820e)
    crossings=21401  edge_len=0.1235  continuity=69.36°  (161.75s)
[57/75] ugandan_village/health-advice_11 (234v, 527e)
    crossings=4802  edge_len=0.1069  continuity=63.90°  (60.55s)
[58/75] ugandan_village/health-advice_12 (218v, 534e)
