Algorithm:  edge_relaxation_currentflow(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_currentflow.csv

[1/75] adjnoun (112v, 425e)
    crossings=5926  edge_len=0.0968  continuity=60.25°  (91.83s)
[2/75] blumenau_drug (75v, 181e)
    crossings=489  edge_len=0.1288  continuity=61.26°  (14.82s)
[3/75] celegans_interactomes/BPmaps (345v, 400e)
    crossings=97  edge_len=0.0358  continuity=50.67°  (78.88s)
[4/75] ceo_club (40v, 95e)
    crossings=164  edge_len=0.1948  continuity=76.38°  (1.5s)
[5/75] cs_department (61v, 353e)
    crossings=2875  edge_len=0.1403  continuity=47.67°  (30.47s)
[6/75] dolphins (62v, 159e)
    crossings=229  edge_len=0.1010  continuity=43.77°  (3.46s)
[7/75] dutch_criticism (35v, 80e)
    crossings=125  edge_len=0.0992  continuity=49.28°  (1.34s)
[8/75] elite (44v, 99e)
    crossings=126  edge_len=0.1628  continuity=60.07°  (3.46s)
[9/75] facebook_organizations/S2 (165v, 726e)
    crossings=7933  edge_len=0.0809  continuity=48.43°  (169.51s)
[10/75] football (115v, 613e)
    crossings=4396  edge_len=0.1629  continuity=66.17°  (189.76s)
[11/75] football_tsevans (115v, 613e)
    crossings=4396  edge_len=0.1629  continuity=66.17°  (238.7s)
[12/75] fullerene_structures/C180 (180v, 270e)
    crossings=79  edge_len=0.0893  continuity=61.20°  (29.67s)
[13/75] fullerene_structures/C240 (240v, 360e)
    crossings=108  edge_len=0.0776  continuity=60.63°  (71.13s)
[14/75] fullerene_structures/C260 (260v, 390e)
    crossings=124  edge_len=0.0744  continuity=61.08°  (54.59s)
[15/75] fullerene_structures/C320 (320v, 480e)
    crossings=150  edge_len=0.0665  continuity=60.87°  (103.85s)
[16/75] fullerene_structures/C500 (500v, 750e)
    crossings=247  edge_len=0.0537  continuity=59.86°  (362.87s)
[17/75] fullerene_structures/C540 (540v, 810e)
    crossings=255  edge_len=0.0506  continuity=60.22°  (158.63s)
[18/75] fullerene_structures/C60 (60v, 90e)
    crossings=22  edge_len=0.1539  continuity=63.38°  (2.09s)
[19/75] game_thrones (107v, 352e)
    crossings=1844  edge_len=0.0925  continuity=44.82°  (12.52s)
[20/75] interactome_pdz (161v, 209e)
    crossings=66  edge_len=0.0519  continuity=50.72°  (11.55s)
[21/75] kangaroo (17v, 91e)
    crossings=420  edge_len=0.2214  continuity=24.75°  (3.02s)
[22/75] karate/77 (34v, 77e)
    crossings=55  edge_len=0.1477  continuity=34.87°  (0.83s)
[23/75] karate/78 (34v, 78e)
    crossings=62  edge_len=0.1495  continuity=36.63°  (0.8s)
[24/75] lesmis (77v, 254e)
    crossings=695  edge_len=0.0797  continuity=47.15°  (19.6s)
[25/75] london_transport (369v, 430e)
    crossings=35  edge_len=0.0270  continuity=39.40°  (36.46s)
[26/75] macaque_neural (47v, 313e)
    crossings=2520  edge_len=0.1251  continuity=34.48°  (25.1s)
[27/75] malaria_genes/HVR_3 (18v, 55e)
    crossings=46  edge_len=0.1214  continuity=10.69°  (0.66s)
[28/75] marvel_partnerships (181v, 224e)
    crossings=9  edge_len=0.0292  continuity=49.84°  (14.63s)
[29/75] mist/ppi_zebrafish (197v, 225e)
