graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",172,0.18489157454604824,0.006947674329196179,80.39055535811441,3.13,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",125,0.11346714253233472,0.004647301324756562,51.35582155636547,4.49,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",230,0.09969310704280075,0.0037044893712601078,45.551774713046235,8.05,ok
elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",154,0.17581737984184104,0.004595225053150561,66.03560491638694,3.3,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",619,0.13832586537292857,0.004301306378911382,62.54188694423311,11.96,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",2890,0.1482829388158217,0.006235885817924834,48.61139418322151,26.67,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",155,0.04918503590862064,0.0005214150947403777,50.4003020188976,42.07,ok
fullerene_structures/C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",80,0.08039103853902389,0.0006589011863768881,61.18059741672201,18.47,ok
football,"[""Social"", ""Sports"", ""Unweighted""]",115,613,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",5449,0.18723096587516347,0.009339781386506088,64.77630834782592,45.14,ok
football_tsevans,"[""Social"", ""Sports"", ""Unweighted""]",115,613,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",5449,0.18723096587516347,0.009339781386506088,64.77630834782592,44.34,ok
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",6124,0.12957381587570585,0.006363786007762966,66.38519983808786,70.42,ok
fullerene_structures/C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",108,0.07763423627865279,0.00012518095636769586,60.67197463095015,27.74,ok
fullerene_structures/C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",15,0.14717011939099894,0.004445422316102943,64.4933815934017,2.27,ok
fullerene_structures/C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",118,0.07563773655580118,0.0004591366561153491,61.07272721194728,46.49,ok
game_thrones,"[""Fictional"", ""Social"", ""Weighted""]",107,352,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",1793,0.08409785194682465,0.0031383520462989075,45.8062333284654,22.79,ok
kangaroo,"[""Animal"", ""Social"", ""Weighted""]",17,91,"edge_relaxation_embeddedness(kr=0.1,kw=0.05)",443,0.14085954175695126,0.007765622369545327,38.33970329586372,1.88,ok
