Algorithm:  edge_relaxation_embeddedness(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_embeddedness.csv

[1/75] adjnoun (112v, 425e)
    crossings=6144  edge_len=0.1197  continuity=66.15°  (40.46s)
[2/75] blumenau_drug (75v, 181e)
    crossings=608  edge_len=0.1359  continuity=62.79°  (7.1s)
[3/75] celegans_interactomes/BPmaps (345v, 400e)
    crossings=164  edge_len=0.0494  continuity=50.39°  (39.69s)
[4/75] ceo_club (40v, 95e)
    crossings=171  edge_len=0.2314  continuity=81.39°  (1.04s)
[5/75] cs_department (61v, 353e)
    crossings=2818  edge_len=0.1422  continuity=48.15°  (50.1s)
[6/75] dolphins (62v, 159e)
    crossings=229  edge_len=0.0995  continuity=45.25°  (3.72s)
[7/75] dutch_criticism (35v, 80e)
    crossings=124  edge_len=0.1220  continuity=54.35°  (2.05s)
[8/75] elite (44v, 99e)
    crossings=152  edge_len=0.1689  continuity=64.52°  (1.49s)
[9/75] facebook_organizations/S2 (165v, 726e)
    crossings=8520  edge_len=0.0792  continuity=48.61°  (98.31s)
[10/75] football (115v, 613e)
    crossings=4701  edge_len=0.1599  continuity=71.31°  (161.72s)
[11/75] football_tsevans (115v, 613e)
    crossings=4701  edge_len=0.1599  continuity=71.31°  (212.57s)
[12/75] fullerene_structures/C180 (180v, 270e)
    crossings=56  edge_len=0.0785  continuity=62.65°  (68.83s)
[13/75] fullerene_structures/C240 (240v, 360e)
    crossings=109  edge_len=0.0697  continuity=61.01°  (37.75s)
[14/75] fullerene_structures/C260 (260v, 390e)
    crossings=83  edge_len=0.0691  continuity=62.02°  (122.91s)
[15/75] fullerene_structures/C320 (320v, 480e)
    crossings=145  edge_len=0.0632  continuity=61.27°  (120.78s)
[16/75] fullerene_structures/C500 (500v, 750e)
    crossings=243  edge_len=0.0522  continuity=60.44°  (181.45s)
[17/75] fullerene_structures/C540 (540v, 810e)
