Algorithm:  edge_relaxation_fiedler(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_fiedler.csv

[1/75] adjnoun (112v, 425e)
    crossings=5979  edge_len=0.1130  continuity=64.91°  (78.41s)
[2/75] blumenau_drug (75v, 181e)
    crossings=512  edge_len=0.1536  continuity=62.79°  (14.92s)
[3/75] celegans_interactomes/BPmaps (345v, 400e)
    crossings=152  edge_len=0.0427  continuity=50.54°  (80.82s)
[4/75] ceo_club (40v, 95e)
    crossings=152  edge_len=0.2480  continuity=76.36°  (2.78s)
[5/75] cs_department (61v, 353e)
    crossings=2987  edge_len=0.1765  continuity=46.91°  (20.6s)
[6/75] dolphins (62v, 159e)
    crossings=231  edge_len=0.0870  continuity=43.87°  (2.94s)
[7/75] dutch_criticism (35v, 80e)
    crossings=135  edge_len=0.1027  continuity=50.23°  (1.57s)
[8/75] elite (44v, 99e)
    crossings=139  edge_len=0.1703  continuity=63.91°  (3.57s)
[9/75] facebook_organizations/S2 (165v, 726e)
    crossings=8518  edge_len=0.0981  continuity=49.76°  (49.51s)
[10/75] football (115v, 613e)
    crossings=4563  edge_len=0.1402  continuity=65.69°  (122.24s)
[11/75] football_tsevans (115v, 613e)
    crossings=4563  edge_len=0.1402  continuity=65.69°  (153.91s)
[12/75] fullerene_structures/C180 (180v, 270e)
    crossings=75  edge_len=0.0865  continuity=60.63°  (37.35s)
[13/75] fullerene_structures/C240 (240v, 360e)
    crossings=113  edge_len=0.0778  continuity=60.81°  (32.75s)
[14/75] fullerene_structures/C260 (260v, 390e)
    crossings=125  edge_len=0.0732  continuity=60.66°  (33.53s)
[15/75] fullerene_structures/C320 (320v, 480e)
    crossings=148  edge_len=0.0662  continuity=60.56°  (96.86s)
[16/75] fullerene_structures/C500 (500v, 750e)
    crossings=241  edge_len=0.0537  continuity=60.19°  (377.89s)
[17/75] fullerene_structures/C540 (540v, 810e)
    crossings=251  edge_len=0.0505  continuity=60.23°  (257.35s)
[18/75] fullerene_structures/C60 (60v, 90e)
    crossings=24  edge_len=0.1533  continuity=63.86°  (2.45s)
[19/75] game_thrones (107v, 352e)
    crossings=1845  edge_len=0.0856  continuity=45.21°  (35.14s)
[20/75] interactome_pdz (161v, 209e)
    crossings=77  edge_len=0.0641  continuity=49.09°  (29.73s)
[21/75] kangaroo (17v, 91e)
    crossings=430  edge_len=0.2376  continuity=17.15°  (2.48s)
[22/75] karate/77 (34v, 77e)
    crossings=59  edge_len=0.1448  continuity=39.78°  (1.6s)
[23/75] karate/78 (34v, 78e)
    crossings=59  edge_len=0.1725  continuity=39.84°  (1.77s)
[24/75] lesmis (77v, 254e)
    crossings=704  edge_len=0.0976  continuity=48.25°  (17.43s)
[25/75] london_transport (369v, 430e)
    crossings=42  edge_len=0.0262  continuity=39.36°  (88.08s)
[26/75] macaque_neural (47v, 313e)
    crossings=2589  edge_len=0.1920  continuity=40.87°  (11.11s)
[27/75] malaria_genes/HVR_3 (18v, 55e)
    crossings=52  edge_len=0.1051  continuity=17.14°  (0.78s)
[28/75] marvel_partnerships (181v, 224e)
    crossings=16  edge_len=0.0343  continuity=46.32°  (14.75s)
[29/75] mist/ppi_zebrafish (197v, 225e)
    crossings=5  edge_len=0.0793  continuity=38.25°  (8.48s)
[30/75] mist/genetic_mouse (214v, 252e)
    crossings=9  edge_len=0.0345  continuity=48.84°  (25.79s)
[31/75] montreal (29v, 75e)
    crossings=145  edge_len=0.1587  continuity=50.53°  (2.25s)
[32/75] new_guinea_tribes (16v, 58e)
    crossings=86  edge_len=0.2786  continuity=16.51°  (0.71s)
[33/75] november17 (22v, 66e)
    crossings=90  edge_len=0.2082  continuity=32.59°  (0.84s)
[34/75] plant_pol_vazquez/All sites pooled (104v, 164e)
    crossings=215  edge_len=0.1217  continuity=54.36°  (4.47s)
[35/75] polbooks (105v, 441e)
    crossings=2359  edge_len=0.0894  continuity=42.03°  (42.87s)
[36/75] revolution (141v, 160e)
    crossings=5  edge_len=0.1352  continuity=35.81°  (3.94s)
[37/75] terrorists_911 (62v, 152e)
    crossings=159  edge_len=0.1007  continuity=48.25°  (2.31s)
[38/75] train_terrorists (64v, 243e)
    crossings=904  edge_len=0.0742  continuity=39.54°  (4.78s)
[39/75] ugandan_village/friendship-1 (202v, 547e)
    crossings=6447  edge_len=0.1182  continuity=76.66°  (124.25s)
[40/75] ugandan_village/friendship-2 (181v, 688e)
    crossings=16046  edge_len=0.1528  continuity=76.11°  (114.56s)
[41/75] ugandan_village/friendship-5 (184v, 720e)
    crossings=15938  edge_len=0.0970  continuity=74.18°  (89.48s)
[42/75] ugandan_village/friendship-6 (139v, 632e)
    crossings=14142  edge_len=0.1245  continuity=71.05°  (133.31s)
[43/75] ugandan_village/friendship-7 (121v, 770e)
    crossings=26877  edge_len=0.2078  continuity=76.43°  (99.48s)
[44/75] ugandan_village/friendship-12 (229v, 872e)
    crossings=25774  edge_len=0.0901  continuity=72.81°  (114.68s)
[45/75] ugandan_village/friendship-13 (183v, 809e)
    crossings=24710  edge_len=0.1609  continuity=79.51°  (216.25s)
[46/75] ugandan_village/friendship-14 (124v, 525e)
