graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,"edge_relaxation_stress(kr=0.1,kw=0.05)",170,0.20962660671647382,0.007478288776226649,84.73902319532893,2.82,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,"edge_relaxation_stress(kr=0.1,kw=0.05)",223,0.0893014848995162,0.002673371339927896,45.9224448543225,4.79,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,"edge_relaxation_stress(kr=0.1,kw=0.05)",131,0.11300602050815009,0.003830450389003257,49.56362678070804,3.33,ok
elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,"edge_relaxation_stress(kr=0.1,kw=0.05)",157,0.15693613616952182,0.005556971074975764,65.76469074683456,2.41,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,"edge_relaxation_stress(kr=0.1,kw=0.05)",597,0.10208317097740918,0.0024772507343787165,61.95451964353693,8.36,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,"edge_relaxation_stress(kr=0.1,kw=0.05)",2927,0.14891800928059185,0.0059191342084626685,46.62219418664133,24.05,ok
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,"edge_relaxation_stress(kr=0.1,kw=0.05)",6155,0.10466522895907274,0.003865888871893293,63.83319564517489,25.33,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,"edge_relaxation_stress(kr=0.1,kw=0.05)",128,0.04206496140289366,0.0010759322514809042,49.92223662264257,35.72,ok
fullerene_structures/C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,"edge_relaxation_stress(kr=0.1,kw=0.05)",80,0.08860805348654947,0.0005073422172617028,60.80824037606728,13.05,ok
fullerene_structures/C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,"edge_relaxation_stress(kr=0.1,kw=0.05)",112,0.07748201045535154,0.00012418711062690767,60.684321258943775,12.41,ok
facebook_organizations/S2,"[""Online"", ""Social"", ""Unweighted""]",165,726,"edge_relaxation_stress(kr=0.1,kw=0.05)",8433,0.08846622311910422,0.0027349970619569355,50.267087231068345,55.0,ok
fullerene_structures/C320,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",320,480,"edge_relaxation_stress(kr=0.1,kw=0.05)",150,0.06654970095167936,0.00015026385706199893,60.577350041535695,26.13,ok
fullerene_structures/C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,"edge_relaxation_stress(kr=0.1,kw=0.05)",122,0.07285994968517487,0.00018431401161383035,60.587829279095835,26.89,ok
fullerene_structures/C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,"edge_relaxation_stress(kr=0.1,kw=0.05)",23,0.15030844759743262,0.005220745237843134,63.38683582063675,1.74,ok
interactome_pdz,"[""Biological"", ""Protein interactions"", ""Unweighted""]",161,209,"edge_relaxation_stress(kr=0.1,kw=0.05)",76,0.05561859626495154,0.002265937671517708,50.973856148064975,8.66,ok
kangaroo,"[""Animal"", ""Social"", ""Weighted""]",17,91,"edge_relaxation_stress(kr=0.1,kw=0.05)",457,0.15148035437827456,0.006576043701507162,26.451405369855422,0.9,ok
