Algorithm:  edge_relaxation_stress(kr=0.1,kw=0.05)
Dataset:    75 graphs
Workers:    1  (sequential)
Output:     /mnt/c/Users/hanvi/Documents/Graph Drawing AMA Han Virgili Javier Badesa/graph-drawing-AMA/data/results/edge_relaxation_stress.csv

[1/75] adjnoun (112v, 425e)
    crossings=6153  edge_len=0.1111  continuity=63.15°  (33.9s)
[2/75] blumenau_drug (75v, 181e)
    crossings=598  edge_len=0.1046  continuity=62.95°  (4.71s)
[3/75] celegans_interactomes/BPmaps (345v, 400e)
    crossings=118  edge_len=0.0430  continuity=51.21°  (78.78s)
[4/75] ceo_club (40v, 95e)
    crossings=171  edge_len=0.2126  continuity=84.92°  (1.98s)
[5/75] cs_department (61v, 353e)
    crossings=2952  edge_len=0.1537  continuity=47.00°  (35.89s)
[6/75] dolphins (62v, 159e)
    crossings=222  edge_len=0.1036  continuity=45.33°  (4.47s)
[7/75] dutch_criticism (35v, 80e)
    crossings=143  edge_len=0.1325  continuity=59.01°  (2.04s)
[8/75] elite (44v, 99e)
    crossings=155  edge_len=0.1386  continuity=64.02°  (1.62s)
[9/75] facebook_organizations/S2 (165v, 726e)
    crossings=8145  edge_len=0.0831  continuity=48.17°  (224.57s)
[10/75] football (115v, 613e)
    crossings=4660  edge_len=0.1674  continuity=65.28°  (167.39s)
[11/75] football_tsevans (115v, 613e)
    crossings=4660  edge_len=0.1674  continuity=65.28°  (198.81s)
[12/75] fullerene_structures/C180 (180v, 270e)
    crossings=78  edge_len=0.0879  continuity=61.11°  (26.94s)
[13/75] fullerene_structures/C240 (240v, 360e)
    crossings=112  edge_len=0.0782  continuity=60.84°  (41.62s)
[14/75] fullerene_structures/C260 (260v, 390e)
    crossings=122  edge_len=0.0718  continuity=60.66°  (73.01s)
[15/75] fullerene_structures/C320 (320v, 480e)
    crossings=149  edge_len=0.0658  continuity=60.60°  (131.05s)
[16/75] fullerene_structures/C500 (500v, 750e)
    crossings=240  edge_len=0.0532  continuity=60.26°  (337.03s)
[17/75] fullerene_structures/C540 (540v, 810e)
    crossings=254  edge_len=0.0506  continuity=60.22°  (168.03s)
[18/75] fullerene_structures/C60 (60v, 90e)
    crossings=24  edge_len=0.1590  continuity=63.39°  (2.17s)
[19/75] game_thrones (107v, 352e)
    crossings=1821  edge_len=0.0893  continuity=47.27°  (21.83s)
[20/75] interactome_pdz (161v, 209e)
    crossings=77  edge_len=0.0629  continuity=52.13°  (18.38s)
[21/75] kangaroo (17v, 91e)
    crossings=455  edge_len=0.1572  continuity=47.63°  (0.93s)
[22/75] karate/77 (34v, 77e)
    crossings=63  edge_len=0.1378  continuity=38.05°  (1.32s)
[23/75] karate/78 (34v, 78e)
    crossings=66  edge_len=0.1572  continuity=35.37°  (0.66s)
[24/75] lesmis (77v, 254e)
    crossings=683  edge_len=0.0750  continuity=45.64°  (13.84s)
[25/75] london_transport (369v, 430e)
    crossings=34  edge_len=0.0281  continuity=40.50°  (71.22s)
[26/75] macaque_neural (47v, 313e)
    crossings=2570  edge_len=0.1796  continuity=40.19°  (12.22s)
[27/75] malaria_genes/HVR_3 (18v, 55e)
    crossings=52  edge_len=0.1181  continuity=13.06°  (0.38s)
[28/75] marvel_partnerships (181v, 224e)
    crossings=13  edge_len=0.0361  continuity=48.54°  (6.41s)
[29/75] mist/ppi_zebrafish (197v, 225e)
    crossings=5  edge_len=0.0776  continuity=40.08°  (8.59s)
[30/75] mist/genetic_mouse (214v, 252e)
    crossings=8  edge_len=0.0384  continuity=51.91°  (8.74s)
[31/75] montreal (29v, 75e)
    crossings=162  edge_len=0.1828  continuity=47.73°  (0.68s)
[32/75] new_guinea_tribes (16v, 58e)
    crossings=81  edge_len=0.2756  continuity=34.96°  (0.44s)
[33/75] november17 (22v, 66e)
    crossings=94  edge_len=0.1548  continuity=38.03°  (0.51s)
[34/75] plant_pol_vazquez/All sites pooled (104v, 164e)
    crossings=211  edge_len=0.1127  continuity=53.22°  (4.35s)
[35/75] polbooks (105v, 441e)
    crossings=2305  edge_len=0.0855  continuity=37.77°  (19.94s)
[36/75] revolution (141v, 160e)
    crossings=5  edge_len=0.1352  continuity=35.81°  (3.46s)
[37/75] terrorists_911 (62v, 152e)
    crossings=154  edge_len=0.0946  continuity=48.75°  (1.86s)
[38/75] train_terrorists (64v, 243e)
    crossings=895  edge_len=0.0773  continuity=40.06°  (7.5s)
[39/75] ugandan_village/friendship-1 (202v, 547e)
    crossings=7148  edge_len=0.1256  continuity=74.95°  (78.53s)
[40/75] ugandan_village/friendship-2 (181v, 688e)
    crossings=16703  edge_len=0.1028  continuity=76.06°  (81.38s)
[41/75] ugandan_village/friendship-5 (184v, 720e)
    crossings=15675  edge_len=0.0970  continuity=74.52°  (67.13s)
[42/75] ugandan_village/friendship-6 (139v, 632e)
    crossings=14765  edge_len=0.1018  continuity=72.65°  (121.16s)
[43/75] ugandan_village/friendship-7 (121v, 770e)
    crossings=26976  edge_len=0.1629  continuity=76.78°  (118.68s)
[44/75] ugandan_village/friendship-12 (229v, 872e)
    crossings=25752  edge_len=0.0964  continuity=73.70°  (158.52s)
[45/75] ugandan_village/friendship-13 (183v, 809e)
    crossings=25287  edge_len=0.0960  continuity=79.31°  (116.45s)
[46/75] ugandan_village/friendship-14 (124v, 525e)
    crossings=8867  edge_len=0.0949  continuity=72.72°  (71.98s)
[47/75] ugandan_village/friendship-15 (120v, 274e)
    crossings=1411  edge_len=0.1293  continuity=66.91°  (10.27s)
[48/75] ugandan_village/friendship-17 (65v, 257e)
    crossings=2153  edge_len=0.0937  continuity=62.93°  (13.29s)
[49/75] ugandan_village/health-advice_1 (187v, 431e)
    crossings=4068  edge_len=0.1030  continuity=64.54°  (51.14s)
[50/75] ugandan_village/health-advice_2 (170v, 394e)
    crossings=3229  edge_len=0.1112  continuity=62.81°  (31.19s)
[51/75] ugandan_village/health-advice_3 (185v, 638e)
    crossings=15444  edge_len=0.0884  continuity=67.04°  (46.08s)
[52/75] ugandan_village/health-advice_5 (166v, 386e)
    crossings=2716  edge_len=0.1269  continuity=63.52°  (45.43s)
[53/75] ugandan_village/health-advice_6 (131v, 284e)
    crossings=1688  edge_len=0.1132  continuity=62.14°  (13.02s)
[54/75] ugandan_village/health-advice_7 (121v, 473e)
    crossings=8309  edge_len=0.1205  continuity=75.50°  (37.61s)
[55/75] ugandan_village/health-advice_9 (173v, 623e)
    crossings=11971  edge_len=0.1062  continuity=63.99°  (95.3s)
