graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,baseline,6785,0.14801554571898742,0.004116821025059669,64.81645677570793,0.06,ok
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,"edge_relaxation(kr=0.1,kw=0.05)",6211,0.09644145613280442,0.0037825578878933606,65.03420478012735,17.16,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,baseline,657,0.12922404096475326,0.002176420295715539,61.43749235273924,0.02,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,"edge_relaxation(kr=0.1,kw=0.05)",590,0.11469858087332013,0.003952952305043679,65.19735507522098,2.93,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,baseline,169,0.04783873171811605,0.0005033297876654896,50.66364084883266,0.41,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,"edge_relaxation(kr=0.1,kw=0.05)",97,0.03470949511079505,0.0010396767370335425,52.34637235374883,40.98,ok
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,baseline,175,0.2232105783850625,0.005013199773614446,75.74960074587474,0.01,ok
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,"edge_relaxation(kr=0.1,kw=0.05)",164,0.21799219939292339,0.0077870115344681025,84.79634993897447,0.67,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,baseline,3039,0.17067486500588974,0.005775157098479858,47.627545622583604,0.01,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,"edge_relaxation(kr=0.1,kw=0.05)",2939,0.11938138489744442,0.0050534263149291676,47.16172056690157,16.24,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,baseline,253,0.09300882254049504,0.0014151778668695018,41.69994531074802,0.02,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,"edge_relaxation(kr=0.1,kw=0.05)",224,0.10267250362701695,0.0034493118029265478,45.379491344200055,1.95,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,baseline,180,0.13252189041891774,0.0017005675961553144,50.071513731076095,0.01,ok
